"tweets.user_id","tweets.status_id","tweets.created_at","tweets.screen_name","tweets.text","tweets.source","tweets.display_text_width","tweets.reply_to_status_id","tweets.reply_to_user_id","tweets.reply_to_screen_name","tweets.is_quote","tweets.is_retweet","tweets.favorite_count","tweets.retweet_count","tweets.quote_count","tweets.reply_count","tweets.ext_media_type","tweets.lang","tweets.quoted_status_id","tweets.quoted_text","tweets.quoted_created_at","tweets.quoted_source","tweets.quoted_favorite_count","tweets.quoted_retweet_count","tweets.quoted_user_id","tweets.quoted_screen_name","tweets.name","tweets.quoted_followers_count","tweets.quoted_friends_count","tweets.quoted_statuses_count","tweets.quoted_location","tweets.quoted_description","tweets.quoted_verified","tweets.retweet_status_id","tweets.retweet_text","tweets.retweet_created_at","tweets.retweet_source","tweets.retweet_favorite_count","tweets.retweet_retweet_count","tweets.retweet_user_id","tweets.retweet_screen_name","tweets.retweet_name","tweets.retweet_followers_count","tweets.retweet_friends_count","tweets.retweet_statuses_count","tweets.retweet_location","tweets.retweet_description","tweets.retweet_verified","tweets.place_url","tweets.place_name","tweets.place_full_name","tweets.place_type","tweets.country","tweets.country_code"
"x261592190","x1512503045355356160",2022-04-08 18:50:01,"narazhii","A little more @RealChalamet outtakes for you fans of #TimotheeChalamet 
He killed it last night in @LouisVuitton at the #Oscars #Oscars2022 
#photo #NFTartist https://t.co/Zxx1BeCa3c","Twitter for iPhone",140,,,,FALSE,TRUE,0,190,,,,"en",,,,,,,,,"nara",,,,,,,"x1508453000863535107","A little more @RealChalamet outtakes for you fans of #TimotheeChalamet 
He killed it last night in @LouisVuitton at the #Oscars #Oscars2022 
#photo #NFTartist https://t.co/Zxx1BeCa3c",2022-03-28 14:36:35,"Twitter for iPhone",734,190,"x1488165012745162755","BillyKiddstudio","Billy Kidd",552,1189,1474,"Brooklyn, NY","Photog based in NYC rep by WSM in NY, Paris, LA and Italy. PDN 30, Photo annual, NAEJ Award, Exhibited at 10 Corso Como, Clic & more. Painted flowers to NFT.",FALSE,,,,,,
"x1551348890","x1512503031631335432",2022-04-08 18:49:58,"Sy1723",".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN","Twitter for Android",140,,,,FALSE,TRUE,0,264,,,,"en",,,,,,,,,"Sylvie",,,,,,,"x1512444512756506628",".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN",2022-04-08 14:57:26,"Twitter for Android",375,264,"x1467080747479666691","cpsavesoil","Conscious Planet #SaveSoil",30885,17,955,"United States","#SaveSoil, a global movement envisioned by @SadhguruJV, seeks to bring about a concerted, conscious response to impending soil extinction.",FALSE,,,,,,
"x2855944287","x1512502985401634820",2022-04-08 18:49:47,"aggarwal_alka",".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN","Twitter for Android",140,,,,FALSE,TRUE,0,264,,,,"en",,,,,,,,,"alka aggarwal",,,,,,,"x1512444512756506628",".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN",2022-04-08 14:57:26,"Twitter for Android",375,264,"x1467080747479666691","cpsavesoil","Conscious Planet #SaveSoil",30885,17,955,"United States","#SaveSoil, a global movement envisioned by @SadhguruJV, seeks to bring about a concerted, conscious response to impending soil extinction.",FALSE,,,,,,
"x1334519426981490697","x1512502961791979528",2022-04-08 18:49:41,"no_itsbetty","@oscars_folklore I AGREE","Twitter for iPhone",7,"x1512455242096517122","x1158689418456252416","oscars_folklore",FALSE,FALSE,0,0,,,,"en",,,,,,,,,"liz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"x20655884","x1512502945677512707",2022-04-08 18:49:37,"musiqalsol","Full episode available on Spotify, Apple Podcasts, Google Podcasts and more! 
https://t.co/TImclX56fZ
#WillAndChris #Oscars  #SlapChrisRock #podcast #SundayDinner #WillSmith https://t.co/OmEUzzQNUY","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,"en",,,,,,,,,"SOMEBODY’S SON",,,,,,,"x1512410706645299202","Full episode available on Spotify, Apple Podcasts, Google Podcasts and more! 
https://t.co/TImclX56fZ
#WillAndChris #Oscars  #SlapChrisRock #podcast #SundayDinner #WillSmith https://t.co/OmEUzzQNUY",2022-04-08 12:43:06,"Twitter for iPhone",2,1,"x1466184327310585857","TheLewisTable","Sunday Dinner Family Podcast",7,173,21,"","That after service fellowship you have been waiting for! Pull up to the Lewis Table where we talk about viral topics all with a Christ driven perspective!",FALSE,,,,,,
"x1483872048380325893","x1512502944482181121",2022-04-08 18:49:37,"Sky_3800","Will Smith’s fan support continues to decline after Oscars slap: poll 

A new fan poll found that support for Will Smith has further declined in the days since the star slapped Oscars presenter Chris Rock in the face during the live broadcast on ABC last month. https://t.co/sYRWVn5vnQ","Twitter Web App",261,,,,FALSE,FALSE,0,0,,,,"en",,,,,,,,,"Murat SONGÜN",,,,,,,,,,,,,,,,,,,,,,,,,,,
"x1483872048380325893","x1512480345828257795",2022-04-08 17:19:49,"Sky_3800","Sean Penn calls for Oscars boycott if Ukraine’s Zelensky isn’t given chance to speak 

Shut up. Who are you. You think we don't know whose agent you are. There isn't a woman you haven't pierced your ass with. You even pierced Charlize Theron. https://t.co/mviYYjhJY6","Twitter Web App",140,,,,FALSE,TRUE,0,1,,,,"en",,,,,,,,,"Murat SONGÜN",,,,,,,"x1508199300911751192","Sean Penn calls for Oscars boycott if Ukraine’s Zelensky isn’t given chance to speak 

Shut up. Who are you. You think we don't know whose agent you are. There isn't a woman you haven't pierced your ass with. You even pierced Charlize Theron. https://t.co/mviYYjhJY6",2022-03-27 21:48:28,"Twitter Web App",0,1,"x1483872048380325893","Sky_3800","Murat SONGÜN",119,0,4605,"","a former Agent",FALSE,,,,,,
"x2762758995","x1512502938966581251",2022-04-08 18:49:36,"cionnfhaolaidh","Phil Lord and Chris Miller recall execs telling them that “if we played our cards right, we would one day 'graduate to live-action'” and that a “certain animated movie we made was so enjoyable that it reminded them of ‘a real movie.’”

(Source: https://t.co/ZgQYJAtOgs) https://t.co/80g8pKTa0r","Twitter Web App",139,,,,FALSE,TRUE,0,755,,,,"en",,,,,,,,,"April O'Bean",,,,,,,"x1511861751616352263","Phil Lord and Chris Miller recall execs telling them that “if we played our cards right, we would one day 'graduate to live-action'” and that a “certain animated movie we made was so enjoyable that it reminded them of ‘a real movie.’”

(Source: https://t.co/ZgQYJAtOgs) https://t.co/80g8pKTa0r",2022-04-07 00:21:45,"Twitter for iPhone",8063,755,"x780460754910732288","DiscussingFilm","DiscussingFilm",391410,814,36176,"","Your leading source in quick reliable news and one of a kind content. Home for healthy and liberating discussion on all things pop culture.",FALSE,,,,,,
"x1295888033112305664","x1512502933358882829",2022-04-08 18:49:34,"BizzyGainz","Oohh… <U+0001F632> just when we started to stop talking about it… <U+0001F926><U+0001F3FD><U+200D><U+2642><U+FE0F> #ChrisRock #WillSmith #WillAndChris #JadaPinkettSmith #Slapchrisrock #Oscars2022 https://t.co/4GY7Ei9g63","Twitter for iPhone",165,,,,FALSE,FALSE,0,0,,,,"en",,,,,,,,,"Giancarlo G. <U+0001F1FA><U+0001F1E6> <U+262E><U+FE0F> <U+0001F1F7><U+0001F1FA>",,,,,,,,,,,,,,,,,,,,,,,,,,,
"x1428275258977628162","x1512502927197306882",2022-04-08 18:49:33,"SoSeeeek","Ricky Gervais thinks he would have evaded Will Smith's anger at the Oscars: “I wouldn’t have told a joke about his wife’s hair... I’d have told a joke about her boyfriend.” https://t.co/TfM93WSULR","Twitter for iPhone",140,,,,FALSE,TRUE,0,74,,,,"en",,,,,,,,,"Zeak",,,,,,,"x1512444149122928646","Ricky Gervais thinks he would have evaded Will Smith's anger at the Oscars: “I wouldn’t have told a joke about his wife’s hair... I’d have told a joke about her boyfriend.” https://t.co/TfM93WSULR",2022-04-08 14:55:59,"SocialFlow",589,74,"x15279429","VanityFair","VANITY FAIR",4811744,1227,148723,"New York, NY","Vanitas vanitatum.",TRUE,,,,,,
